id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating
23,WADLEY REGIONAL MEDICAL CENTER AT HOPE,2001 SOUTH MAIN,HOPE,AR,71801,HEMPSTEAD,8707223800,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
24,MERCY HEALTH LOVE COUNTY,300 WANDA STREET,MARIETTA,OK,73448,LOVE,5802763347,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
25,PENDER MEMORIAL HOSPITAL,507 E FREMONT ST,BURGAW,NC,28425,PENDER,9102595451,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
26,ST VINCENT FISHERS HOSPITAL INC,13861 OLIO ROAD,FISHERS,IN,46037,HAMILTON,3174159000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
27,MISSOURI RIVER MEDICAL CENTER,1501 ST CHARLES ST,FORT BENTON,MT,59442,CHOUTEAU,4066223331,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
28,BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,810 W HIGHWAY 71,MARBLE FALLS,TX,78654,BURNET,8302017308,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
29,INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,11700 N MERIDIAN ST,CARMEL,IN,46032,HAMILTON,3176882000,Acute Care Hospitals,Proprietary,TRUE,TRUE,4
30,EASTON HOSPITAL,250 SOUTH 21ST STREET,EASTON,PA,18042,NORTHAMPTON,6102504076,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
31,ST JOSEPHS COMMUNITY HOSPITAL OF WEST BEND,3200 PLEASANT VALLEY ROAD,WEST BEND,WI,53095,WASHINGTON,2623345533,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
32,OUR CHILDRENS HOUSE,8 PRESTIGE CIRCLE 101,ALLEN,TX,75002,COLLIN,2148284747,Childrens,Voluntary non-profit - Church,FALSE,TRUE,Not Available
33,CHAMBERSBURG HOSPITAL,112 NORTH SEVENTH STREET,CHAMBERSBURG,PA,17201,FRANKLIN,7172673000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
34,NORTH SUNFLOWER MEDICAL CENTER CAH,840 NORTH OAK AVENUE,RULEVILLE,MS,38771,SUNFLOWER,6627562711,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
35,GREENWOOD COUNTY HOSPITAL,100 W 16TH STREET,EUREKA,KS,67045,GREENWOOD,6205837451,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
36,HUTCHINSON HEALTH,1095 HIGHWAY 15 SOUTH,HUTCHINSON,MN,55350,MCLEOD,3202345000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
37,MEMORIAL HOSPITAL OF LAFAYETTE COUNTY,800 CLAY ST,DARLINGTON,WI,53530,LAFAYETTE,6087764466,Critical Access Hospitals,Government - Local,TRUE,TRUE,3
38,MERCY MEDICAL CTR,271 CAREW STREET,SPRINGFIELD,MA,1104,HAMPDEN,4137489000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
39,LEGACY SALMON CREEK MEDICAL CENTER,2211 NE 139TH STREET,VANCOUVER,WA,98686,CLARK,3604871000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
40,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
41,OTTO KAISER MEMORIAL HOSPITAL,3349 S HIGHWAY 181,KENEDY,TX,78119,KARNES,8305833401,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
42,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,27157,FORSYTH,3367162011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
43,"ST FRANCIS HOSPITAL, ROSLYN",100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,5165626000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
44,WAYNESBORO HOSPITAL,501 EAST MAIN ST,WAYNESBORO,PA,17268,FRANKLIN,7177654000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
45,CRAIG GENERAL HOSPITAL,735 NORTH FOREMAN,VINITA,OK,74301,CRAIG,9182567551,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
46,HUNTSVILLE MEMORIAL HOSPITAL,110 MEMORIAL HOSPITAL DRIVE,HUNTSVILLE,TX,77340,WALKER,9362913411,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
47,COMMUNITY HOSPITAL,2351 G RD,GRAND JUNCTION,CO,81505,MESA,9702566201,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
48,"DOCTORS' CENTER HOSPITAL, INC","MARGINAL CARRETERA NO 2, KM 47 7",MANATI,PR,674,MANATI,7878533322,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available
49,MARK TWAIN MEDICAL CENTER,768 MOUNTAIN RANCH RD,SAN ANDREAS,CA,95249,CALAVERAS,2097542515,Critical Access Hospitals,Voluntary non-profit - Other,FALSE,TRUE,3
50,ORANGE PARK MEDICAL CENTER,2001 KINGSLEY AVE,ORANGE PARK,FL,32073,CLAY,9042768500,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
51,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,2562339292,Acute Care Hospitals,Government - Hospital District or Authority,FALSE,TRUE,2
52,RUSSELL REGIONAL HOSPITAL,200 S MAIN STREET,RUSSELL,KS,67665,RUSSELL,7854833131,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
53,ST JOSEPH HOSPITAL,360 BROADWAY,BANGOR,ME,4401,PENOBSCOT,2072621000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
54,"JEWISH HOSPITAL, LLC",4777 EAST GALBRAITH ROAD,CINCINNATI,OH,45236,HAMILTON,5136863000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
55,METROPLEX HOSPITAL,2201 S CLEAR CREEK ROAD,KILLEEN,TX,76542,BELL,2545267523,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
56,NORTHERN ROCKIES MEDICAL CENTER,802 2ND ST SE,CUT BANK,MT,59427,GLACIER,4068732251,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
57,HALE HO'OLA HAMAKUA,45-547 PLUMERIA STREET,HONOKAA,HI,96727,HAWAII,8089324100,Critical Access Hospitals,Government - State,TRUE,TRUE,Not Available
58,SOUTHEAST COLORADO HOSPITAL,373 E TENTH AVE,SPRINGFIELD,CO,81073,BACA,7195234501,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
59,MOUNT GRANT GENERAL HOSPITAL,FIRST AND A STREETS,HAWTHORNE,NV,89415,MINERAL,7029452461,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
60,RANGELY DISTRICT HOSPITAL,225 EAGLE CREST DR,RANGELY,CO,81648,RIO BLANCO,9706755011,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
61,COMMUNITY HOSPITAL NORTH,7150 CLEARVISTA DR,INDIANAPOLIS,IN,46256,MARION,3176215335,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
62,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,2333 BUCHANAN STREET,SAN FRANCISCO,CA,94115,SAN FRANCISCO,4156006000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
63,MEDICAL CENTER OF THE ROCKIES,2500 ROCKY MOUNTAIN AVENUE,LOVELAND,CO,80538,LARIMER,9706242500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
64,SOUTH LINCOLN MEDICAL CENTER - CAH,711 ONYX STREET,KEMMERER,WY,83101,LINCOLN,3078774401,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
65,ADVOCATE CONDELL MEDICAL CENTER,801 S MILWAUKEE AVE,LIBERTYVILLE,IL,60048,LAKE,8479905200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5
66,SOUTHERN OCEAN MEDICAL CENTER,1140 RT 72 W,MANAHAWKIN,NJ,8050,OCEAN,6095976011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
67,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,KODIAK ISLAND,9074869592,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,Not Available
68,"INTEGRIS BAPTIST MEDICAL CENTER, INC",3300 NORTHWEST EXPRESSWAY,OKLAHOMA CITY,OK,73112,OKLAHOMA,4059518110,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
69,THEDACARE MEDICAL CENTER - WAUPACA INC,800 RIVERSIDE DRIVE,WAUPACA,WI,54981,WAUPACA,7152581000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
70,CHI HEALTH MIDLANDS,11111 SOUTH 84TH ST,PAPILLION,NE,68046,SARPY,4025933000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
71,ADVENTIST MEDICAL CENTER,10123 SE MARKET STREET,PORTLAND,OR,97216,MULTNOMAH,5032572500,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
72,ROSELAND COMMUNITY HOSPITAL,45 W 111TH STREET,CHICAGO,IL,60628,COOK,7739953000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2
73,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,9146325000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
74,JOHN C FREMONT HEALTHCARE DISTRICT,5189 HOSPITAL ROAD,MARIPOSA,CA,95338,MARIPOSA,2099663631,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
75,MERCY HOSPITAL LEBANON,100 HOSPITAL DRIVE,LEBANON,MO,65536,LACLEDE,4175336100,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
76,CROWNPOINT HEALTHCARE FACILITY,JUNCTION OF HWY 371,CROWNPOINT,NM,87313,MCKINLEY,5057865291,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available
77,ALLEGHANY COUNTY MEMORIAL HOSPITAL,617 DOCTORS STREET,SPARTA,NC,28675,ALLEGHANY,3363725511,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
78,BUCHANAN GENERAL HOSPITAL,1535 SLATE CREEK ROAD,GRUNDY,VA,24614,BUCHANAN,2769351000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
79,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,30 WARREN STREET,BRIGHTON,MA,2135,SUFFOLK,6172543800,Childrens,Voluntary non-profit - Private,FALSE,TRUE,Not Available
80,"GENESIS MEDICAL CENTER, ALEDO",409 NW 9TH AVENUE,ALEDO,IL,61231,MERCER,3095825301,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
81,LUCAS COUNTY HEALTH CENTER,1200 NORTH 7TH STREET,CHARITON,IA,50049,LUCAS,6417743000,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
82,ST ELIZABETH HOSPITAL,211 S THIRD ST,BELLEVILLE,IL,62220,SAINT CLAIR,6182342120,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
83,HOSPITAL ONCOLOGICO DR ISAAC GONZALEZ MARTINEZ,BO. MONACILLOS CARR 22 CENTRO MEDICO DE PUERTO RIC,SAN JUAN,PR,935,SAN JUAN,7877634149,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available
84,ST MARK'S HOSPITAL,1200 EAST 3900 SOUTH,SALT LAKE CITY,UT,84124,SALT LAKE,8012687700,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
85,UNIVERSITY OF KENTUCKY HOSPITAL,800 ROSE STREET,LEXINGTON,KY,40536,FAYETTE,8593235211,Acute Care Hospitals,Government - State,TRUE,TRUE,3
86,ST LUKE'S MINERS MEMORIAL HOSPITAL,360 W RUDDLE STREET,COALDALE,PA,18218,SCHUYLKILL,5706452131,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
87,FAIRVIEW RIDGES HOSPITAL,201 EAST NICOLLET BOULEVARD,BURNSVILLE,MN,55337,DAKOTA,9528922000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
88,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,MARICOPA,6235244000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
89,SPECTRUM HEALTH PENNOCK,1009 W GREEN ST,HASTINGS,MI,49058,BARRY,2699453451,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
90,BRONSON BATTLE CREEK HOSPITAL,300 NORTH AVENUE,BATTLE CREEK,MI,49017,CALHOUN,2699668000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
91,EAST GEORGIA REGIONAL MEDICAL CENTER,1499 FAIR ROAD,STATESBORO,GA,30458,BULLOCH,9124861500,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
92,FRANKLIN MEDICAL CENTER,2106 LOOP ROAD,WINNSBORO,LA,71295,FRANKLIN,3184359411,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
93,MIDMICHIGAN MEDICAL CENTER-MIDLAND,4000 WELLNESS DRIVE,MIDLAND,MI,48670,MIDLAND,9898393000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
94,MINISTRY DOOR COUNTY MEDICAL CENTER,323 SOUTH 18TH AVENUE,STURGEON BAY,WI,54235,DOOR,9207435566,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
95,PLAINS REGIONAL MEDICAL CENTER,"2100 N MARTIN LUTHER KING, JR, BLVD",CLOVIS,NM,88101,CURRY,5757697155,Acute Care Hospitals,Government - Federal,TRUE,TRUE,3
96,THE HEART HOSPITAL AT DEACONESS GATEWAY LLC,4007 GATEWAY BLVD,NEWBURGH,IN,47630,WARRICK,8128424784,Acute Care Hospitals,Proprietary,FALSE,TRUE,4
97,FORT MADISON COMMUNITY HOSPITAL,5445 AVE O,FORT MADISON,IA,52627,LEE,3193726530,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
98,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL,8333 FELCH ST,ZEELAND,MI,49464,OTTAWA,6167724644,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
99,EAST MORGAN COUNTY HOSPITAL,2400 W EDISON ST,BRUSH,CO,80723,MORGAN,9708426222,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
100,CARTERET GENERAL HOSPITAL,3500 ARENDELL ST,MOREHEAD CITY,NC,28557,CARTERET,2528086000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
101,SANFORD MEDICAL CENTER THIEF RIVER FALLS,3001 SANFORD PARKWAY,THIEF RIVER FALLS,MN,56701,PENNINGTON,2186814240,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
102,BEAUMONT HOSPITAL - WAYNE,33155 ANNAPOLIS AVE,WAYNE,MI,48184,WAYNE,7344674175,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
103,WESTON COUNTY HEALTH SERVICES,1124 WASHINGTON BOULEVARD,NEWCASTLE,WY,82701,WESTON,3077464491,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
104,SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER COURT,CHULA VISTA,CA,91911,SAN DIEGO,6195025800,Acute Care Hospitals,Proprietary,FALSE,TRUE,4
105,GREENE COUNTY GENERAL HOSPITAL,1185 N 1000 W,LINTON,IN,47441,GREENE,8128472281,Critical Access Hospitals,Government - Local,TRUE,TRUE,3
106,NORTHBAY MEDICAL CENTER,1200 B  GALE WILSON BLVD,FAIRFIELD,CA,94533,SOLANO,7076465000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2
107,PERRY HOSPITAL,1120 MORNINGSIDE DR,PERRY,GA,31069,HOUSTON,4789873600,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
108,LABETTE HEALTH,1902 SOUTH US HWY 59,PARSONS,KS,67357,LABETTE,6204214880,Acute Care Hospitals,Government - Local,TRUE,TRUE,4
109,HEALTHEAST WOODWINDS HOSPITAL,1925 WOODWINDS DRIVE,WOODBURY,MN,55125,WASHINGTON,6512322185,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,4
110,JACKSON HOSPITAL,4250 HOSPITAL DR,MARIANNA,FL,32446,JACKSON,8507182620,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
111,"SURGICAL HOSPITAL OF OKLAHOMA, LLC",100 SOUTHEAST 59TH STREET,OKLAHOMA CITY,OK,73129,OKLAHOMA,4056349300,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available
112,GARFIELD COUNTY MEMORIAL HOSPITAL,66 NORTH SIXTH STREET,POMEROY,WA,99347,GARFIELD,5098431591,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
113,LISBON AREA HEALTH SERVICES,905 MAIN ST,LISBON,ND,58054,RANSOM,7016835241,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
114,HASKELL COUNTY COMMUNITY HOSPITAL,401 NORTHWEST H STREET,STIGLER,OK,74462,HASKELL,9189674682,Critical Access Hospitals,Proprietary,TRUE,TRUE,3
115,SETON MEDICAL CENTER HAYS,6001 KYLE PKWY,KYLE,TX,78640,HAYS,5123245000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
116,RAY COUNTY MEMORIAL HOSPITAL,904 WOLLARD BOULEVARD,RICHMOND,MO,64085,RAY,8164705432,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
117,HILLSBORO COMMUNITY HOSPITAL,101 INDUSTRIAL ROAD,HILLSBORO,KS,67063,MARION,6209473114,Critical Access Hospitals,Proprietary,TRUE,,Not Available
118,LOUIS A WEISS MEMORIAL HOSPITAL,4646 N MARINE DRIVE,CHICAGO,IL,60640,COOK,7738788700,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
119,INDIAN RIVER MEDICAL CENTER,1000 36TH ST,VERO BEACH,FL,32960,INDIAN RIVER,7725674311,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
120,"WOODS AT PARKSIDE,THE",349 OLDE RIDENOUR ROAD,COLUMBUS,OH,43230,FRANKLIN,6144712552,Acute Care Hospitals,Proprietary,FALSE,,Not Available
121,STAMFORD HOSPITAL,ONE HOSPITAL PLAZA,STAMFORD,CT,6904,FAIRFIELD,2032761000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
122,MEMORIAL HOSPITAL OF TEXAS COUNTY AUTHORITY,520 MEDICAL DRIVE,GUYMON,OK,73942,TEXAS,5803386515,Acute Care Hospitals,Government - Local,TRUE,TRUE,3
123,UNIVERSITY OF TEXAS MEDICAL BRANCH,301 UNIVERSITY BOULEVARD,GALVESTON,TX,77555,GALVESTON,4097721011,Acute Care Hospitals,Government - State,TRUE,TRUE,2
124,CHRISTUS COUSHATTA HEALTH CARE CENTER,1635 MARVEL STREET,COUSHATTA,LA,71019,RED RIVER,3189322000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
125,CASTLEVIEW HOSPITAL,300 NORTH HOSPITAL DRIVE,PRICE,UT,84501,CARBON,4356374800,Acute Care Hospitals,Proprietary,TRUE,TRUE,4
126,MINERAL COMMUNITY HOSPITAL,1208 6TH AVE E,SUPERIOR,MT,59872,MINERAL,4068224841,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
127,SPANISH PEAKS REGIONAL HEALTH CENTER,23500 US HWY 160,WALSENBURG,CO,81089,HUERFANO,7197385100,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
128,HOSPITAL SAN CRISTOBAL,CARR 506 KM 1 0,COTO LAUREL,PR,780,PONCE,7878482100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
129,ROBERT PACKER HOSPITAL,ONE GUTHRIE SQUARE,SAYRE,PA,18840,BRADFORD,5708886666,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2
130,SAINT JOSEPH REGIONAL MEDICAL CENTER,5215 HOLY CROSS PKWY,MISHAWAKA,IN,46545,ST JOSEPH,5743355000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
131,ST MARY MEDICAL CENTER INC,1500 S LAKE PARK AVE,HOBART,IN,46342,LAKE,2199420551,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
132,BARTON MEMORIAL HOSPITAL,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,CA,96150,EL DORADO,5305413420,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
133,NIX HEALTH CARE SYSTEM,"414 NAVARRO, SUITE 600",SAN ANTONIO,TX,78205,BEXAR,2102712188,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
134,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,CA,94609,ALAMEDA,5106554000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
135,WILLAMETTE VALLEY MEDICAL CENTER,2700 SE STRATUS AVE.,MCMINNVILLE,OR,97128,YAMHILL,5034726131,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
136,NORTHERN MONTANA HOSPITAL,30 13TH ST,HAVRE,MT,59501,HILL,4062652211,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
137,UPPER VALLEY MEDICAL CENTER,3130 NORTH COUNTY ROAD 25A,TROY,OH,45373,MIAMI,9374407853,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
138,FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD,FORREST CITY,AR,72335,SAINT FRANCIS,8702610000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
139,NEWPORT HOSPITAL,FRIENDSHIP STREET,NEWPORT,RI,2840,NEWPORT,4018466400,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
