Provider ID,name,type,specialty,street,city,state,zip,Phone Number
27,KAISER FOUNDATION HOSPITAL - LOS ANGELES,Private,Opthalmology,4867 SUNSET BLVD,LOS ANGELES,CA,90027,3237834011
28,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,Public,Othopedics,23625 W R HOLMAN HIGHWAY,MONTEREY,CA,93940,8316245311
29,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,Private,Cardiology,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,9497644624
30,MERCY MEDICAL CENTER REDDING,Public,Pharmacy,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,5302256102
31,SUTTER ROSEVILLE MEDICAL CENTER,Private,Vaccine,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,9167811000
32,EDEN MEDICAL CENTER,Public,Massage,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,5105371234
33,SONOMA DEVELOPMENTAL CENTER,Private,Comprehensive,15000 ARNOLD DRIVE   /  P O BOX 1493,ELDRIDGE,CA,95431,7079386000
34,MISSION HOSPITAL REGIONAL MED CENTER,Public,Dental,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,9493641400
35,MENIFEE VALLEY MEDICAL CENTER,Private,Opthalmology,28400 MCCALL B0ULEVARD,SUN CITY,CA,92585,9516798888
36,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,Public,Othopedics,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,5624017022
37,FRANK R HOWARD MEMORIAL HOSPITAL,Private,Cardiology,1 MARCELA DR,WILLITS,CA,95490,7074563031
38,ST HELENA HOSPITAL-CLEARLAKE,Public,Pharmacy,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,7079946486
39,CHILDREN'S HOSP OF LOS ANGELES,Private,Vaccine,4650 SUNSET BLVD,LOS ANGELES,CA,90027,3236692164
40,CHILDREN'S HOSPITAL AT MISSION,Public,Massage,"27700 MEDICAL CENTER RD, 5TH FLOOR",MISSION VIEJO,CA,92691,9493652408
41,PIONEERS MEDICAL CENTER,Private,Comprehensive,100 PIONEERS MEDICAL CENTER DRIVE,MEEKER,CO,81641,9708785047
42,PIKES PEAK REGIONAL HOSPITAL,Public,Dental,16420 HIGHWAY 24,WOODLAND PARK,CO,80863,7196879999
43,STAMFORD HOSPITAL,Private,Opthalmology,ONE HOSPITAL PLAZA,STAMFORD,CT,6904,2032761000
44,BRISTOL HOSPITAL,Public,Othopedics,BREWSTER RD,BRISTOL,CT,6010,8605853000
45,ST FRANCIS HOSPITAL,Private,Cardiology,7TH AND CLAYTON STS,WILMINGTON,DE,19805,3024214100
46,TWIN CITIES HOSPITAL,Public,Pharmacy,2190 HWY 85 N,NICEVILLE,FL,32578,8506784131
47,HEART OF FLORIDA REGIONAL MEDICAL CENTER,Private,Vaccine,40100 US HWY 27 N,DAVENPORT,FL,33837,8634224971
48,CORAL GABLES HOSPITAL,Public,Massage,3100 DOUGLAS RD,CORAL GABLES,FL,33134,3054458461
49,NORTH FLORIDA REGIONAL MEDICAL CENTER,Private,Comprehensive,6500 NEWBERRY RD,GAINESVILLE,FL,32605,3523334100
50,KENDALL REGIONAL MEDICAL CENTER,Public,Dental,11750 BIRD RD,MIAMI,FL,33175,3052233000
51,CAPE CORAL HOSPITAL,Private,Opthalmology,636 DEL PRADO BLVD,CAPE CORAL,FL,33990,2395742323
52,PROVIDENCE VALDEZ MEDICAL CENTER,Public,Othopedics,PO BOX 550,VALDEZ,AK,99686,9078352249
53,PETERSBURG MEDICAL CENTER,Private,Cardiology, PO BOX 589,PETERSBURG,AK,99833,9077724291
54,CORDOVA COMMUNITY MEDICAL CENTER,Public,Pharmacy,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,9074248000
55,CARTERSVILLE MEDICAL CENTER,Private,Vaccine,960 JOE FRANK HARRIS PARKWAY,CARTERSVILLE,GA,30120,7703878182
56,JOHN D ARCHBOLD MEMORIAL HOSPITAL,Public,Massage,915 GORDON AVENUE & MIMOSA DRIVE,THOMASVILLE,GA,31792,2292282880
57,HABERSHAM COUNTY MEDICAL CTR,Private,Comprehensive,541 HISTORIC HIGHWAY 441-NORTH,DEMOREST,GA,30535,7067542161
58,MEADOWS REGIONAL MEDICAL CENTER,Public,Dental,ONE MEADOWS PARKWAY,VIDALIA,GA,30474,9125355828
59,PUTNAM GENERAL HOSPITAL,Private,Opthalmology,101 LAKE OCONEE PARKWAY,EATONTON,GA,31024,7064852711
60,LIBERTY REGIONAL MEDICAL CENTER,Public,Othopedics,462 E G MILES PARKWAY,HINESVILLE,GA,31310,9123699438
61,CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE,Private,Cardiology,1001 JOHNSON FERRY ROAD,ATLANTA,GA,30342,4047855252
62,NORTH HAWAII COMMUNITY HOSPITAL,Public,Pharmacy,67 1125 MAMALAHOA HIGHWAY,KAMUELA,HI,96743,8088854444
63,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,Private,Vaccine,1512 TWELFTH AVENUE ROAD,NAMPA,ID,83686,2084635000
64,PRESENCE SAINT JOSEPH MEDICAL CENTER,Public,Massage,333 N MADISON,JOLIET,IL,60435,8157257133
65,ST LUKE'S WOOD RIVER MEDICAL CENTER,Private,Comprehensive,100 HOSPITAL DRIVE,KETCHUM,ID,83340,2087278800
66,ALTON MEMORIAL HOSPITAL,Public,Dental,ONE MEMORIAL DRIVE,ALTON,IL,62002,6184637300
67,BLESSING HOSPITAL,Private,Opthalmology,BROADWAY AT 11TH STREET,QUINCY,IL,62301,2172235811
68,MT SINAI HOSPITAL MEDICAL CENTER,Public,Othopedics,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,7732576751
69,OSF SAINT ANTHONY'S HEALTH CENTER,Private,Cardiology,ST ANTHONY'S WAY,ALTON,IL,62002,6184652571
70,METROSOUTH MEDICAL CENTER,Public,Pharmacy,12935 S GREGORY,BLUE ISLAND,IL,60406,7085972000
71,INGALLS MEMORIAL HOSPITAL,Private,Vaccine,ONE INGALLS DRIVE,HARVEY,IL,60426,7083332300
72,HARRISBURG MEDICAL CENTER,Public,Massage,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946,6182537671
73,ALEXIAN BROTHERS MEDICAL CENTER 1,Private,Comprehensive,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,8474375500
74,KISHWAUKEE COMMUNITY HOSPITAL,Public,Dental,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115,8157561521
75,MIDWEST MEDICAL CENTER,Private,Opthalmology,ONE MEDICAL CENTER DRIVE,GALENA,IL,61036,8157771340
76,COMMUNITY MEMORIAL HOSPITAL,Public,Othopedics,400 CALDWELL,STAUNTON,IL,62088,6186352200
77,HARDIN COUNTY GENERAL HOSPITAL,Private,Cardiology,FERRELL ROAD,ROSICLARE,IL,62982,6182856634
78,FAYETTE COUNTY HOSPITAL,Public,Pharmacy,7TH AND TAYLOR,VANDALIA,IL,62471,6182831231
79,SPARTA COMMUNITY HOSPITAL,Private,Vaccine,818 E BROADWAY,SPARTA,IL,62286,6184432177
80,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,Public,Massage,"225 E CHICAGO, BOX 57",CHICAGO,IL,60611,7738804000
81,LARABIDA CHILDRENS HOSPITAL I,Private,Comprehensive,E 65TH ST AT LAKE MICHIGAN,CHICAGO,IL,60649,7733636700
82,KING'S DAUGHTERS' HEALTH,Public,Dental,1373 EAST SR 62,MADISON,IN,47250,8128010105
83,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,Private,Opthalmology,2401 UNIVERSITY AVE,MUNCIE,IN,47303,7657473111
84,COMMUNITY HOSPITAL SOUTH,Public,Othopedics,1402 E COUNTY LINE RD S,INDIANAPOLIS,IN,46227,3178877000
85,OTTUMWA REGIONAL HEALTH CENTER,Private,Cardiology,1001 E PENNSYLVANIA,OTTUMWA,IA,52501,6416827511
86,MERCY MEDICAL CENTER-CENTERVILLE,Public,Pharmacy,ONE ST JOSEPH'S DRIVE,CENTERVILLE,IA,52544,6414374111
87,MORTON COUNTY HOSPITAL,Private,Vaccine,445 N HILLTOP,ELKHART,KS,67950,6206972141
88,LANE COUNTY HOSPITAL,Public,Massage,235 WEST VINE  PO BOX 969,DIGHTON,KS,67839,6203975321
89,COMANCHE COUNTY HOSPITAL,Private,Comprehensive,2ND & FRISCO STREET,COLDWATER,KS,67029,6205822144
90,SEDAN CITY HOSPITAL,Public,Dental,300 NORTH STREET,SEDAN,KS,67361,6207253115
91,HAMILTON COUNTY HOSPITAL,Private,Opthalmology,700 NORTH HUSER,SYRACUSE,KS,67878,6203847461
92,SATANTA DISTRICT HOSPITAL,Public,Othopedics,CHEYENNE & APACHE,SATANTA,KS,67870,6206492761
93,SABETHA COMMUNITY HOSPITAL,Private,Cardiology,14TH & OREGON,SABETHA,KS,66534,7852842121
94,WILSON MEDICAL CENTER,Public,Pharmacy,REECE CAMPUS 2600 OTTAWA ROAD,NEODESHA,KS,66757,6203258369
95,ST LUKE HOSPITAL & LIVING CENTER,Private,Vaccine,535 SOUTH FREEBRON,MARION,KS,66861,6203822177
96,ALLEN COUNTY REGIONAL HOSPITAL,Public,Massage,3066 NORTH KENTUCKY STREET,IOLA,KS,66749,6203651021
97,ATCHISON HOSPITAL,Private,Comprehensive,800 RAVIN HILL DRIVE,ATCHISON,KS,66002,9133605581
98,SAINT JOSEPH HOSPITAL,Public,Dental,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,8593131000
99,HARRISON MEMORIAL HOSPITAL,Private,Opthalmology,1210 KY HWY 36 E,CYNTHIANA,KY,41031,8592342300
100,BAPTIST HEALTH CORBIN,Public,Othopedics,ONE TRILLIUM WAY,CORBIN,KY,40701,6065281212
101,MOREHOUSE GENERAL HOSPITAL,Private,Cardiology,323 W WALNUT,BASTROP,LA,71220,3182833600
102,MINDEN MEDICAL CENTER,Public,Pharmacy,NO 1 MEDICAL PLAZA,MINDEN,LA,71055,3183772321
103,LASALLE GENERAL HOSPITAL,Private,Vaccine,187 NINTH ST/HWY 84 WEST,JENA,LA,71342,3189929200
104,THE SPINE HOSPITAL OF LOUISIANA,Public,Massage,"10105 PARK ROW CIRCLE, SUITE 250",BATON ROUGE,LA,70810,2257639900
105,EASTERN MAINE MEDICAL CENTER,Private,Comprehensive,PO BOX 404,BANGOR,ME,4401,2079737000
106,RIVERLAND MEDICAL CENTER,Public,Dental,1700  WALLACE BLVD,FERRIDAY,LA,71334,3187576551
107,AROOSTOOK MEDICAL CENTER,Private,Opthalmology,PO BOX 151,PRESQUE ISLE,ME,04769,2077684000
108,CHARLES A DEAN MEMORIAL HOSPITAL,Public,Othopedics,PO BOX 1129,GREENVILLE,ME,04441,2076955200
109,WALDO COUNTY GENERAL HOSPITAL,Private,Cardiology,PO BOX 287,BELFAST,ME,04915,2073382500
110,SAINT AGNES HOSPITAL,Public,Pharmacy,900 CATON AVENUE,BALTIMORE,MD,021229,4103682101
111,LAWRENCE GENERAL HOSPITAL,Private,Vaccine,ONE GENERAL STREET,LAWRENCE,MA,01842,9786834000
112,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",Public,Massage,41 & 45 MALL ROAD,BURLINGTON,MA,01803,7817445100
113,MARTHA'S VINEYARD HOSPITAL INC,Private,Comprehensive,"ONE HOSPITAL ROAD, FIRST FL, WING 5,  PO BOX 1477",OAK BLUFFS,MA,02557,5086930410
114,SPECTRUM HEALTH LUDINGTON HOSPITAL,Public,Dental,ONE N ATKINSON DRIVE,LUDINGTON,MI,49431,2318432591
115,HURLEY MEDICAL CENTER,Private,Opthalmology,ONE HURLEY PLAZA,FLINT,MI,48503,8102579000
116,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,Public,Othopedics,ONE GENESYS PARKWAY,GRAND BLANC,MI,48439,8106065000
117,"BEAUMONT HOSPITAL, TROY",Private,Cardiology,44201 DEQUINDRE ROAD,TROY,MI,48085,2489648800
118,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,Public,Pharmacy,4201 ST ANTOINE ST - 3M,DETROIT,MI,48201,3137453104
119,HURON VALLEY-SINAI HOSPITAL,Private,Vaccine,ONE WILLIAM CARLS DRIVE,COMMERCE TOWNSHIP,MI,48382,2489373370
120,SCHOOLCRAFT MEMORIAL HOSPITAL,Public,Massage,7870W US HIGHWAY 2,MANISTIQUE,MI,49854,9063413200
121,MUNSON HEALTHCARE CHARLEVOIX HOSPITAL,Private,Comprehensive,14700 LAKESHORE DRIVE,CHARLEVOIX,MI,49720,2315474024
122,SPECTRUM HEALTH REED CITY HOSPITAL,Public,Dental,"300 N PATTERSON, PO BOX 75",REED CITY,MI,49677,2318323271
123,RED LAKE HOSPITAL A,Private,Opthalmology,PO BOX 497,REDLAKE,MN,56671,2186793912
124,MAHNOMEN HEALTH CENTER,Public,Othopedics,414 W JEFFERSON PO BOX 396,MAHNOMEN,MN,56557,2189352511
125,RENVILLE COUNTY HOSPITAL AND CLINICS,Private,Cardiology,100 HEALTHY WAY,OLIVIA,MN,56277,3205231261
126,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,Public,Pharmacy,200 HWY 30 WEST,NEW ALBANY,MS,38652,6625387631
127,PRAIRIE RIDGE HOSPITAL AND HEALTH SERVICES,Private,Vaccine,1411 STATE HIGHWAY 793,ELBOW LAKE,MN,56531,2186857300
128,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,Public,Massage,P O BOX 948/427 HIGHWAY 51 NORTH,BROOKHAVEN,MS,39601,6018336011
129,JEFFERSON COUNTY HOSPITAL,Private,Comprehensive,870 S MAIN,FAYETTE,MS,39069,6017863401
130,MERIT HEALTH NATCHEZ,Public,Dental,52 SERGEANT PRENTISS DRIVE,NATCHEZ,MS,39120,6014432100
131,SOUTHWEST MS REGIONAL MEDICAL CENTER,Private,Opthalmology,215 MARION AV BOX 1307,MCCOMB,MS,39649,6012495500
132,CHOCTAW HEALTH CENTER,Public,Othopedics,ROUTE 7 BOX R50,PHILADELPHIA,MS,39350,6016562211
133,WHITFIELD MEDICAL SURGICAL HOSPITAL,Private,Cardiology,"3550 HWY 468 W, BLDG 60",WHITFIELD,MS,39193,6013518023
134,FIELD HEALTH SYSTEM,Public,Pharmacy,178 HIGHWAY 24,CENTREVILLE,MS,39631,6018900500
135,MERCY HOSPITAL ST LOUIS,Private,Vaccine,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141,3145696000
136,BARNES JEWISH HOSPITAL,Public,Massage,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS,MO,63110,3147473000
137,MISSOURI BAPTIST MEDICAL CENTER,Private,Comprehensive,3015 N BALLAS RD,TOWN AND COUNTRY,MO,63131,3149965000
138,UNIVERSITY OF MISSOURI HEALTH CARE,Public,Dental,ONE HOSPITAL DRIVE,COLUMBIA,MO,65212,5738824141
139,FITZGIBBON HOSPITAL,Private,Opthalmology,2305 S 65 HIGHWAY,MARSHALL,MO,65340,6608867431
140,SAINT FRANCIS MEDICAL CENTER,Public,Othopedics,211 ST FRANCIS DR,CAPE GIRARDEAU,MO,63703,5733313000
141,BELTON REGIONAL MEDICAL CENTER,Private,Cardiology,17065 S 71 HIGHWAY,BELTON,MO,64012,8163481236
142,SALEM MEMORIAL DISTRICT HOSPITAL,Public,Pharmacy,"PO BOX 774,",SALEM,MO,65560,5737296626
143,MERCY ST FRANCIS HOSPITAL,Private,Vaccine,"100 WEST HIGHWAY 60, PO BOX 82",MOUNTAIN VIEW,MO,65548,4179347000
144,IRON COUNTY HOSPITAL,Public,Massage,301 NORTH HIGHWAY 21,PILOT KNOB,MO,63663,5735461260
145,ST LOUIS CHILDRENS HOSPITAL,Private,Comprehensive,ONE CHILDRENS PLACE,SAINT LOUIS,MO,63110,3144546000
146,ST PETER'S HOSPITAL,Public,Dental,2475 BROADWAY,HELENA,MT,59601,4064422480
147,MISSOURI RIVER MEDICAL CENTER,Private,Opthalmology,1501 ST CHARLES ST,FORT BENTON,MT,59442,4066223331
148,PRAIRIE COMMUNITY HOSPITAL,Public,Othopedics,312 S ADAMS,TERRY,MT,59349,4066355511
149,WHEATLAND MEMORIAL HOSPITAL,Private,Cardiology,530 3RD ST NW,HARLOWTON,MT,59036,4066324351
150,P H S INDIAN HOSPITAL CROW / NORTHERN CHEYENNE,Public,Pharmacy,"1010 SOUTH 7650 EAST, POST OFFICE BOX 9",CROW AGENCY,MT,59022,4066382626
151,CHI HEALTH GOOD SAMARITAN,Private,Vaccine,"P O BOX 1990, 10 EAST 31ST ST",KEARNEY,NE,68848,3088657100
152,THE NEBRASKA MEDICAL CENTER DBA NEBRASKA MEDICINE,Public,Massage,987400 NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,4025522040
153,"NEBRASKA SPINE HOSPITAL, LLC",Private,Comprehensive,"P O BOX 34400, 6901 NORTH 72ND ST, STE 20300",OMAHA,NE,68122,4025723000
154,HARLAN COUNTY HEALTH SYSTEM,Public,Dental,"P O BOX 836, 717 NORTH BROWN ST",ALMA,NE,68920,3089282151
155,FILLMORE COUNTY HOSPITAL,Private,Opthalmology,"P O BOX 193, 1900 F STREET",GENEVA,NE,68361,4027593167
156,PAWNEE COUNTY MEMORIAL HOSPITAL,Public,Othopedics,"P O BOX 433, 600 I ST",PAWNEE CITY,NE,68420,4028522231
157,NIOBRARA VALLEY HOSPITAL,Private,Cardiology,"P O BOX 118, 401 SOUTH 5TH STREET",LYNCH,NE,68746,4025692451
158,COMMUNITY MEMORIAL HOSPITAL,Public,Pharmacy,"P O BOX N, 1579 MIDLAND ST",SYRACUSE,NE,68446,4022692011
159,GENOA COMMUNITY HOSPITAL,Private,Vaccine,"P O BOX 310, 706 EWING AVE",GENOA,NE,68640,4029932283
160,ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER,Public,Massage,"P O BOX 428, 531 BEEBE ST",OSCEOLA,NE,68651,4027472031
161,BRODSTONE MEMORIAL HOSP,Private,Comprehensive,"P O BOX 187, 520 EAST 10TH ST",SUPERIOR,NE,68978,4028793281
162,WEBSTER COUNTY COMMUNITY HOSPITAL,Public,Dental,"P O BOX 465, 621 N FRANKLIN ST",RED CLOUD,NE,68970,4027465600
163,JEFFERSON COMMUNITY HEALTH CENTER,Private,Opthalmology,"P O BOX 277, 2200 H ST",FAIRBURY,NE,68352,4027293351
164,ANTELOPE MEMORIAL HOSPITAL,Public,Othopedics,"P O BOX 229, 102 WEST 9TH ST",NELIGH,NE,68756,4028874151
165,COZAD COMMUNITY HOSPITAL,Private,Cardiology,"P O BOX 108, 300 EAST 12TH ST",COZAD,NE,69130,3087842261
166,AVERA CREIGHTON HOSPITAL,Public,Pharmacy,"P O BOX 186, 1503 MAIN ST",CREIGHTON,NE,68729,4023585700
167,BOONE COUNTY HEALTH CENTER,Private,Vaccine,"P O BOX 151, 723 WEST FAIRVIEW ST",ALBION,NE,68620,4023952191
168,CALLAWAY DISTRICT HOSPITAL,Public,Massage,"P O BOX 100, 211 E KIMBALL ST",CALLAWAY,NE,68825,3088362228
169,YORK GENERAL HOSPITAL,Private,Comprehensive,2222 LINCOLN AVE,YORK,NE,68467,4023626671
170,CLARION HOSPITAL,Public,Dental,ONE HOSPITAL DRIVE,CLARION,PA,16214,8142269500
171,HOWARD COUNTY MEDICAL CENTER,Private,Opthalmology,"P O BOX 406, 1113 SHERMAN ST",ST PAUL,NE,68873,3087544421
172,DUNDY COUNTY HOSPITAL,Public,Othopedics,"P O BOX 626, 1313 NORTH CHEYENNE ST",BENKELMAN,NE,69021,3084232204
173,CHERRY COUNTY HOSPITAL,Private,Cardiology,"P O BOX 410, 510 NORTH GREEN ST",VALENTINE,NE,69201,4023762525
174,CHI HEALTH PLAINVIEW,Public,Pharmacy,"P O BOX 489, 704 NORTH THIRD ST",PLAINVIEW,NE,68769,4025824245
175,OSMOND GENERAL HOSPITAL,Private,Vaccine,"P O BOX 429, 402 NORTH MAPLE ST",OSMOND,NE,68765,4027483393
176,BLAKE MEDICAL CENTER,Public,Massage,2020 59TH ST W,BRADENTON,FL,34209,9417926611
177,PENDER COMMUNITY HOSPITAL,Private,Comprehensive,"P O BOX 100, 100 HOSPITAL DRIVE",PENDER,NE,68047,4023853083
178,CHASE COUNTY COMMUNITY HOSPITAL,Public,Dental,"P O BOX 819, 600 W 12TH ST",IMPERIAL,NE,69033,3088827111
179,"COMMUNITY MEDICAL CENTER, INC",Private,Opthalmology,"P O BOX 399, 3307 BARADA ST",FALLS CITY,NE,68355,4022452428
180,CRETE AREA MEDICAL CENTER,Public,Othopedics,"P O BOX 220, 2910 BETTEN DR",CRETE,NE,68333,4028262102
181,BOX BUTTE GENERAL HOSPITAL,Private,Cardiology,"P O BOX 810, 2101 BOX BUTTE AVE",ALLIANCE,NE,69301,3087626660
182,LEXINGTON REGIONAL HEALTH CENTER,Public,Pharmacy,"P O BOX 980, 1201 NORTH ERIE ST",LEXINGTON,NE,68850,3083245651
183,COMMUNITY HOSPITAL,Private,Vaccine,"P O BOX 1328, 1301 EAST H ST",MCCOOK,NE,69001,3083442650
184,"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",Public,Massage,"P O BOX 278, 4800 HOSPITAL PARKWAY",BEATRICE,NE,68310,4022283344
185,SUMMERLIN HOSPITAL MEDICAL CENTER,Private,Comprehensive,657 TOWN CENTER DRIVE,LAS VEGAS,NV,89144,7022337500
186,ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,Public,Dental,3001 ST ROSE PARKWAY,HENDERSON,NV,89052,7026165000
187,HENDERSON HOSPITAL,Private,Opthalmology,1050 WEST GALLERIA DRIVE,HENDERSON,NV,89011,3182904395
188,CARSON VALLEY MEDICAL CENTER,Public,Othopedics,1107 HIGHWAY 395,GARDNERVILLE,NV,89410,7757821500
189,SOUTH LYON MEDICAL CENTER,Private,Cardiology,213 S WHITACRE/PO BOX 940,YERINGTON,NV,89447,7757813761
190,CLARA MAASS MEDICAL CENTER,Public,Pharmacy,ONE CLARA MAASS DRIVE,BELLEVILLE,NJ,7109,9734502002
191,UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,Private,Vaccine,ONE-FIVE PLAINSBORO ROAD,PLAINSBORO,NJ,8536,8664604776
192,CAPE REGIONAL MEDICAL CENTER INC,Public,Massage,TWO STONE HARBOR BLVD,CAPE MAY COURT HOUSE,NJ,8210,6094632000
193,RIVERVIEW MEDICAL CENTER,Private,Comprehensive,ONE RIVERVIEW PLAZA,RED BANK,NJ,7701,7327412700
194,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,Public,Dental,ONE ROBERT WOOD JOHNSON PLACE,NEW BRUNSWICK,NJ,8901,7329378525
195,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,Private,Opthalmology,ONE CAPITAL WAY,PENNINGTON,NJ,8534,6093034000
196,HACKENSACK-UMC MOUNTAINSIDE,Public,Othopedics,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,9734296000
197,MEMORIAL HOSPITAL OF SALEM COUNTY,Private,Cardiology,310 WOODSTOWN ROAD,SALEM,NJ,8079,8569351000
198,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,Public,Pharmacy,ONE HAMILTON HEALTH PLACE,HAMILTON,NJ,8690,6095867900
199,LARGO MEDICAL CENTER,Private,Vaccine,201 14TH ST SW,LARGO,FL,33770,7275885200
200,MESCALERO PHS INDIAN HOSPITAL,Public,Massage,P O BOX 210,MESCALERO,NM,88340,5054644441
201,NORTHERN NAVAJO MEDICAL CENTER,Private,Comprehensive,US HWY 491 NORTH,SHIPROCK,NM,87420,5053686001
202,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,Public,Dental,ROUTE 301 NORTH B STREET,ZUNI,NM,87327,5057824431
203,CROWNPOINT HEALTHCARE FACILITY,Private,Opthalmology,JUNCTION OF HWY 371,CROWNPOINT,NM,87313,5057865291
204,DHHS USPHS INDIAN HEALTH SERVICES,Public,Othopedics,EXIT #102 OFF I-40 1/2 MILE SOUTH,SAN FIDEL,NM,87049,5055525300
